Artist	Album	ArtistHash	AlbumHash	PathHash
The Eagles	Hotel California	C94BB5F268D814B7EBE7EA96321013E23CE47E48CB418302A60F2D231519437D	DB293E0C25315FC693E04B88A156A138C854C33D29D9B22A7FCA545086F3F78A	3F94FB8951B0274061C11E192558069CDA48073978289CBF8D618C35192CEA36
The Eagles	Long Road Out of Eden	C94BB5F268D814B7EBE7EA96321013E23CE47E48CB418302A60F2D231519437D	08EE8F688A414CEBCA780D8A2634DB2B372D1093C1C4EB407BA169F4E09D7561	20B3CFCD96CA1F598877DE69E9520AE8EFCD5480B9F3ECF3C5E94B7E287B3AE7
The Everly Brothers	Greatest Recordings	5886CA2E99281777202BC799746A13F769E6B3AFB3A91F8C70BE3394B106B6DE	E60A27E2312576F200D201732C0A12C71D41B802F3C0CB871D1811C1B302D435	D8E2A050CCC69AA0A8AB8B96296976AAFF6887D941C82EC1F4ED0286392CE71F
The Four Seasons	Anthology	8E6C038897642AC6CE219E15391F082634EC8FA87CDD11459FC64B834F2DE29F	8A05BEB6D44452E5602756A95EFBEC00465BC3884D86E53DD5194B1C319E18A5	7367BB0EF174815E1D47104BDDE3515CF236B4F36F264D2BBDF28FC9683E4414
The High Kings	The High Kings	01B228305BEAF12A6BDC852C7A5B2333C5E72FEAC9E30BCF8F0DCA87FB849D6C	01B228305BEAF12A6BDC852C7A5B2333C5E72FEAC9E30BCF8F0DCA87FB849D6C	13A58E4E17A119A7E882C5B3683C2FD8D50B1777CD3E162B2A76E7ADFDA2A3C1
The Highwaymen	Highwayman 2	26D9A4CE8381AEDB24A9EA6F54906EB7356148E981750507448303EA268C7E3F	FBD77C60C536FA29543324027ED1A95F626AFED9EE07CFCAE57757EB2E30DEC2	85EC5E9CD325E1B4C64DEF4546A4B3BF5F183460E1C29D2843E52F8996EBFCAA
The Irish Descendants	Blooming Bright Star	BA7DF334198773BD2975A7D30D461D2C339CD38E6E6BB30F799B6341AB8DD5B7	B837B06B8F347EDE93DD6144F82897A32996539BC4822167BC187CC029536D97	706063AC0C859E36DA78CF87558756F563C6A0C37EA4631EEE285D91976EDFAD
The Irish Descendants	The Best of the Irish Descendants	BA7DF334198773BD2975A7D30D461D2C339CD38E6E6BB30F799B6341AB8DD5B7	A6AB5B77E59399AD2CF11ADB31D615F8C289F77612E53E8082C2E56268D4A20E	CDBB74C3E9B9319FBD69A7FC292BDF69D9474CBAE77C427AF086F8151E019141
The King's Singers	My Spirit Sang All Day	C958CFBD5A5507ED201B7AAE9D006752D3685792C7A65FD09DCE2297F680E6BB	D02F31B291C03B515034187A31FF277DED240D5970F1769F6EBE35B0C49EF362	CBEA97124357D05B18D4FF88D10F175E8E032077E4BEE8CF149FD6A5A1941758
The Mamas & the Papas	16 Of Their Greatest Hits	C4A5F9A0542D174FA633D8F9D5A26F9D8611DCE3C2B7078D6EB9DF78835FFC59	50148569464101D09775426E45D2030F41C9295FA201EF75DA8AF5920C141501	05622F3F713B7E0010349EAFFCF07F2C9763ADB9114D4B4BDEA341DF739A165F
